id_user,spent,date_created,type_of_purchase
3789401,140,2022-12-19,crystals
3789401,140,2022-12-19,crystals
3789401,140,2022-12-20,crystals
3789401,140,2022-12-20,crystals
3789401,140,2022-12-20,crystals
3789401,140,2022-12-21,crystals
3789401,140,2022-12-21,crystals
3789401,140,2022-12-21,crystals
3789401,140,2022-12-21,crystals
3789401,140,2022-12-21,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-16,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3789401,220,2022-12-17,crystals
3831188,20,2022-12-13,coins
3831188,30,2022-12-24,crystals
4358084,5,2022-12-15,crystals
4358084,20,2022-12-13,coins
4404588,20,2022-12-13,coins
4404588,30,2022-12-14,crystals
4541570,220,2022-12-16,crystals
4541570,220,2022-12-16,crystals
4541570,320,2022-12-16,crystals
4749283,5,2022-12-15,crystals
4749283,90,2022-12-13,coins
5035301,220,2022-12-16,crystals
5035301,220,2022-12-17,crystals
5035301,320,2022-12-16,crystals
5316607,220,2022-12-16,crystals
5316607,220,2022-12-16,crystals
5316607,320,2022-12-16,crystals
5795188,16,2022-12-14,crystals
5795188,48,2022-12-15,crystals
6133858,16,2022-12-14,crystals
6133858,48,2022-12-15,crystals
6267564,5,2022-12-14,crystals
6267564,20,2022-12-13,coins
7259262,10,2022-12-14,crystals
7259262,45,2022-12-13,coins
7319512,10,2022-12-15,crystals
7319512,10,2022-12-15,crystals
7319512,80,2022-12-15,crystals
7319512,80,2022-12-15,crystals
7319512,80,2022-12-15,crystals
7319512,120,2022-12-16,crystals
7319512,320,2022-12-16,crystals
7650852,90,2022-12-18,crystals
7650852,140,2022-12-20,crystals
7650852,220,2022-12-16,crystals
7754170,90,2022-12-18,crystals
7754170,220,2022-12-16,crystals
7754170,320,2022-12-16,crystals
7843171,20,2022-12-13,coins
7843171,90,2022-12-13,coins
7851482,10,2022-12-14,crystals
7851482,20,2022-12-14,crystals
7908789,30,2022-12-15,crystals
7908789,155,2022-12-13,coins
8655133,5,2022-12-15,crystals
8655133,90,2022-12-13,coins
8962172,30,2022-12-13,coins
8962172,48,2022-12-15,crystals
8985480,20,2022-12-14,coins
8985480,20,2022-12-15,crystals
8985480,20,2022-12-18,crystals
8985480,45,2022-12-15,crystals
8985480,45,2022-12-16,crystals
8985480,300,2022-12-13,coins
8985480,300,2022-12-14,crystals
8985480,300,2022-12-20,crystals
8985480,800,2022-12-14,crystals
9348579,16,2022-12-14,crystals
9348579,20,2022-12-14,crystals
9568394,20,2022-12-13,coins
9568394,30,2022-12-14,crystals
9589740,5,2022-12-15,crystals
9589740,90,2022-12-13,coins
9911082,5,2022-12-16,crystals
9911082,16,2022-12-14,crystals
9911082,48,2022-12-14,crystals
9911082,48,2022-12-14,crystals
9911082,48,2022-12-14,crystals
9911082,48,2022-12-15,crystals
9911082,48,2022-12-15,crystals
9911082,48,2022-12-15,crystals
9911082,48,2022-12-15,crystals
9911082,48,2022-12-15,crystals
9911082,48,2022-12-15,crystals
9911082,120,2022-12-16,crystals
9911082,120,2022-12-16,crystals
9911082,120,2022-12-16,crystals
9911082,120,2022-12-16,crystals
9911082,120,2022-12-16,crystals
10229813,90,2022-12-18,crystals
10229813,220,2022-12-16,crystals
10229813,320,2022-12-16,crystals
11032064,20,2022-12-13,coins
11032064,30,2022-12-14,crystals
11047401,20,2022-12-14,crystals
11047401,48,2022-12-15,crystals
11167042,5,2022-12-15,crystals
11167042,30,2022-12-13,coins
11183599,10,2022-12-14,crystals
11183599,48,2022-12-15,crystals
11459924,5,2022-12-15,crystals
11459924,90,2022-12-13,coins
11470849,20,2022-12-13,coins
11470849,90,2022-12-13,coins
11572770,16,2022-12-14,crystals
11572770,16,2022-12-14,crystals
11572770,48,2022-12-14,crystals
11572770,48,2022-12-14,crystals
11572770,120,2022-12-16,crystals
11751714,5,2022-12-16,crystals
11751714,16,2022-12-14,crystals
11751714,30,2022-12-16,crystals
11751714,48,2022-12-15,crystals
11751714,48,2022-12-15,crystals
